campaign,ad_group,keyword,match_type,intent,landing,priority,risk,notes
G_SEARCH_CAREPA_V1,Local,dentista carepa,phrase,local,/c/valoracion,P0,low,Núcleo; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Local,[dentista carepa],exact,local,/c/valoracion,P0,low,Núcleo; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Local,odontólogo carepa,phrase,local,/c/valoracion,P0,low,Núcleo; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Local,[odontólogo carepa],exact,local,/c/valoracion,P0,low,Núcleo; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Local,odontologia carepa,phrase,local,/c/valoracion,P0,low,Núcleo; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Local,consultorio odontologico carepa,phrase,local,/c/valoracion,P0,low,Núcleo; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Valoracion,valoracion odontologica carepa,phrase,valuation,/c/valoracion,P0,low,Sin afirmar gratuidad; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Valoracion,[valoracion odontologica carepa],exact,valuation,/c/valoracion,P0,low,Sin afirmar gratuidad; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Valoracion,cita odontologica carepa,phrase,valuation,/c/valoracion,P0,low,DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Valoracion,consulta odontologica carepa,phrase,valuation,/c/valoracion,P0,low,DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Urgencia,urgencia dental carepa,phrase,urgent,/c/urgencias,P0,policy-review,Orientar a valoración; no prometer atención inmediata; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Urgencia,[urgencia dental carepa],exact,urgent,/c/urgencias,P0,policy-review,DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Urgencia,dolor de muela dentista carepa,phrase,urgent,/c/urgencias,P0,policy-review,DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Urgencia,odontologo dolor dental carepa,phrase,urgent,/c/urgencias,P0,policy-review,DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Sonrisa,diseño de sonrisa carepa,phrase,smile,/c/sonrisa,P1,low,Sin prometer resultado; DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Sonrisa,[diseño de sonrisa carepa],exact,smile,/c/sonrisa,P1,low,DRAFT; DRAFT; DRAFT; DRAFT
G_SEARCH_CAREPA_V1,Sonrisa,blanqueamiento dental carepa,phrase,smile,/c/sonrisa,P1,low,DRAFT; DRAFT; DRAFT; DRAFT
