ad_id,angle,format,primary_text,headline,description,cta,landing_url,asset_path,hook,placement,policy_notes,status
M_VAL_01,valoracion,feed,Tu cuidado oral puede empezar con una conversación clara. Conoce el consultorio y solicita orientación para una valoración en Carepa.,Da el primer paso,Consulta disponibilidad con el equipo,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_valoracion&utm_content=feed_valoracion_01,public/marketing/acquisition-v1/feed/valoracion-1080x1350.webp,Da el primer paso,Feed,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_VAL_02,valoracion,story,Conoce cómo empezar: revisa los servicios y escríbenos para solicitar orientación. Cada caso requiere valoración.,Valoración en Carepa,Atención con cita previa,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_valoracion&utm_content=story_valoracion_02,public/marketing/acquisition-v1/stories/valoracion-1080x1920.webp,Valoración en Carepa,Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_VAL_03,valoracion,reel,La Dra. Nataly te invita a conocer un proceso de atención claro y cercano. Consulta disponibilidad por WhatsApp.,Conoce el consultorio,Primero valorar y orientar,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_valoracion&utm_content=reel_valoracion_03,public/marketing/acquisition-v1/reels/valoracion-nataly-720x1280.mp4,Conoce el consultorio,Reels/Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_SON_01,sonrisa,feed,No hay dos sonrisas iguales. Explora opciones de cuidado estético con una valoración responsable y orientación según tu caso.,Opciones para tu sonrisa,Los resultados dependen de cada caso,LEARN_MORE,https://www.dranatalyjimenez.com/c/sonrisa?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_sonrisa&utm_content=feed_sonrisa_01,public/marketing/acquisition-v1/feed/sonrisa-1080x1350.webp,Opciones para tu sonrisa,Feed,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_SON_02,sonrisa,story,Una decisión informada comienza por conocer tus alternativas. Solicita información sobre los servicios estéticos.,Conoce tus alternativas,Valoración antes de cualquier plan,LEARN_MORE,https://www.dranatalyjimenez.com/c/sonrisa?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_sonrisa&utm_content=story_sonrisa_02,public/marketing/acquisition-v1/stories/sonrisa-1080x1920.webp,Conoce tus alternativas,Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_SON_03,sonrisa,reel,"Conoce el espacio, el equipo y la forma de empezar. Tu plan se define después de una valoración.",Tu sonrisa es única,Consulta disponibilidad,LEARN_MORE,https://www.dranatalyjimenez.com/c/sonrisa?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_sonrisa&utm_content=reel_sonrisa_03,public/marketing/acquisition-v1/reels/recorrido-local-montage-720x1280.mp4,Tu sonrisa es única,Reels/Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_CON_01,confianza,feed,"Atención odontológica con personas reales, explicaciones claras y un consultorio en Carepa. Conoce al equipo.",Un equipo cercano,Cuidado oral con orientación,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_confianza&utm_content=feed_confianza_01,public/marketing/acquisition-v1/feed/confianza-1080x1350.webp,Un equipo cercano,Feed,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_CON_02,confianza,story,Conoce a quienes te acompañan en el cuidado de tu sonrisa. Escríbenos si quieres saber cómo solicitar una cita.,Equipo real en Carepa,Información por WhatsApp,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_confianza&utm_content=story_confianza_02,public/marketing/acquisition-v1/stories/confianza-1080x1920.webp,Equipo real en Carepa,Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_CON_03,confianza,reel,Un vistazo al consultorio y al proceso antes de decidir. Revisa los servicios y conversa con nuestro equipo.,Conoce antes de agendar,Estamos en Carepa,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_confianza&utm_content=reel_confianza_03,public/marketing/acquisition-v1/reels/consultorio-recorrido-720x1280.mp4,Conoce antes de agendar,Reels/Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_ESP_01,consultorio,feed,Un espacio real para el cuidado oral en Carepa. Conoce el consultorio de la Dra. Nataly Jiménez.,Conoce nuestro espacio,Consulta cómo empezar,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_consultorio&utm_content=feed_consultorio_01,public/marketing/acquisition-v1/feed/consultorio-1080x1350.webp,Conoce nuestro espacio,Feed,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_ESP_02,consultorio,story,"Antes de tu visita, recorre el consultorio y conoce la atención. La disponibilidad se confirma con el equipo.",Tu consultorio en Carepa,Atención con cita previa,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_consultorio&utm_content=story_consultorio_02,public/marketing/acquisition-v1/stories/consultorio-1080x1920.webp,Tu consultorio en Carepa,Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_ESP_03,consultorio,reel,Recorre el espacio y conoce cómo puedes solicitar orientación para tu cuidado oral.,Un espacio cercano,Escríbenos para información,LEARN_MORE,https://www.dranatalyjimenez.com/c/valoracion?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_consultorio&utm_content=reel_consultorio_03,public/marketing/acquisition-v1/reels/consultorio-cierre-720x1280.mp4,Un espacio cercano,Reels/Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_PRE_01,prevencion,feed,La prevención también empieza por informarse. Conoce opciones de higiene y cuidado oral en Carepa.,Cuida tu salud oral,Cada caso requiere valoración,LEARN_MORE,https://www.dranatalyjimenez.com/c/limpieza?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_prevencion&utm_content=feed_prevencion_01,public/marketing/acquisition-v1/feed/prevencion-1080x1350.webp,Cuida tu salud oral,Feed,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_PRE_02,prevencion,story,Haz del cuidado oral una rutina informada. Revisa el servicio de limpieza y consulta disponibilidad.,Prevención con orientación,Conoce el servicio,LEARN_MORE,https://www.dranatalyjimenez.com/c/limpieza?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_prevencion&utm_content=story_prevencion_02,public/marketing/acquisition-v1/stories/prevencion-1080x1920.webp,Prevención con orientación,Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
M_PRE_03,prevencion,reel,Conoce un espacio pensado para acompañar tu cuidado oral. Solicita información antes de agendar.,Cuidado oral en Carepa,Habla con nuestro equipo,LEARN_MORE,https://www.dranatalyjimenez.com/c/limpieza?utm_source=meta&utm_medium=paid_social&utm_campaign=pa_v1_carepa_prevencion&utm_content=reel_prevencion_03,public/marketing/acquisition-v1/reels/consultorio-recorrido-720x1280.mp4,Cuidado oral en Carepa,Reels/Stories,PASS; lenguaje prudente; sin atributo personal ni promesas de resultado,DRAFT
