id,original_filename,type,extension,width,height,duration,fps,filesize,orientation,visual_summary,people_visible,patient_possible,private_information,text_baked_in,logo_baked_in,phone_baked_in,address_baked_in,quality,recommended_usage,consent_required,publish_status,notes
IMG-001,"WhatsApp Image 2026-08-14 at 3.38.02 PM.jpeg",screenshot,jpeg,720,1600,,,103608,portrait,"Captura de una conversación de WhatsApp con mensajes y adjunto.",yes,no,yes,yes,yes,yes,no,E,"Ninguno; conservar solo como evidencia privada.",no,PRIVATE-DO-NOT-PUBLISH,"Excluida sin reproducir el contenido privado. Contiene un número distinto que pertenece a la conversación, no a una pieza publicitaria."
IMG-002,"WhatsApp Image 2026-08-22 at 2.04.23 PM.jpeg",flyer,jpeg,719,1280,,,60558,portrait,"Flyer de limpieza dental con fotografía de procedimiento aparentemente de banco de imágenes.",yes,yes,no,yes,yes,yes,no,C,"Story orgánica de limpieza si se confirma procedencia/licencia y copy clínico.","Confirmar licencia/procedencia",PUBLIC-PENDING-CONFIRMATION,"Teléfono 3128311449 correcto. La afirmación de periodicidad requiere revisión clínica."
IMG-003,"WhatsApp Image 2026-08-22 at 2.04.27 PM.jpeg",screenshot,jpeg,720,1600,,,99428,portrait,"Captura de una story con recepción del consultorio y agenda visible de 2024.",no,no,"possible outdated schedule details",yes,no,no,no,D,"Referencia interna; no publicar con interfaz ni agenda antigua.",no,PUBLIC-PENDING-CONFIRMATION,"El encuadre del espacio es útil, pero la captura incluye interfaz y material fechado 2024."
IMG-004,"WhatsApp Image 2026-08-22 at 2.04.28 PM (1).jpeg",team,jpeg,864,1152,,,52009,portrait,"Selfie vertical de Nataly y Vanesa en uniforme dentro del consultorio.",yes,no,no,no,no,no,no,B,"Web /equipo, Google Business y confianza local.",no,PUBLIC-SAFE,"Identidades coherentes con el equipo confirmado en el proyecto."
IMG-005,"WhatsApp Image 2026-08-22 at 2.04.28 PM (2).jpeg",clinic/interior,jpeg,1204,1600,,,142313,portrait,"Unidad odontológica vacía frente a espejo iluminado y acceso interior.",no,no,no,no,no,no,no,A,"Web /consultorio, Google Business y campañas locales.",no,PUBLIC-SAFE,"Mejor fotografía del espacio; buena luz, nitidez y posibilidad de recorte."
IMG-006,"WhatsApp Image 2026-08-22 at 2.04.28 PM.jpeg",flyer,jpeg,1440,2560,,,273419,portrait,"Story promocional de primera consulta con valoración gratis.",no,no,no,yes,yes,yes,no,C,"Story solo después de confirmar promoción.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: requiere confirmación explícita de vigencia y condiciones. Teléfono correcto."
IMG-007,"WhatsApp Image 2026-08-22 at 2.04.42 PM (1).jpeg",social_post,jpeg,843,1054,,,47587,portrait,"Pieza editorial con Nataly, guante azul y mensaje de confianza.",yes,no,no,yes,yes,yes,no,B,"Instagram/Facebook orgánico y WhatsApp Status.",no,PUBLIC-SAFE,"Teléfono 3128311449 correcto; original público conservado sin cambios."
IMG-008,"WhatsApp Image 2026-08-22 at 2.04.42 PM.jpeg",social_post,jpeg,719,1280,,,54984,portrait,"Pieza de Nataly con bata, gafas y CTA para agendar.",yes,no,no,yes,yes,yes,no,B,"Story, Facebook y WhatsApp Status.",no,PUBLIC-SAFE,"Teléfono 312 831 1449 correcto; no contiene promoción."
IMG-009,"WhatsApp Image 2026-08-22 at 2.04.43 PM (1).jpeg",flyer,jpeg,1440,2560,,,436413,portrait,"Flyer con listado amplio de servicios, teléfono y dirección Calle del Comercio.",no,no,no,yes,yes,yes,yes,C,"Referencia de servicios después de validar dirección y oferta.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: la dirección pública exacta continúa sin confirmar en el proyecto. Teléfono correcto."
IMG-010,"WhatsApp Image 2026-08-22 at 2.04.43 PM (2).jpeg",flyer,jpeg,719,1280,,,50481,portrait,"Flyer de diseño de sonrisa con primera cita sin costo y close-up dental.",yes,yes,no,yes,yes,yes,no,D,"Solo social después de confirmar promoción y procedencia de la fotografía.","Confirmar licencia/procedencia",PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: primera cita sin costo. Teléfono correcto."
IMG-011,"WhatsApp Image 2026-08-22 at 2.04.43 PM.jpeg",flyer,jpeg,719,1280,,,57366,portrait,"Flyer de Nataly y Vanesa con consulta gratuita y referencia de ubicación.",yes,no,no,yes,yes,yes,yes,C,"Social después de confirmar promoción y dirección.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: consulta gratuita y ubicación no confirmadas. Teléfono correcto."
IMG-012,"WhatsApp Image 2026-08-22 at 2.04.44 PM (1).jpeg",flyer,jpeg,719,1280,,,45178,portrait,"Flyer tipográfico: agenda gratis tu valoración.",no,no,no,yes,yes,yes,no,C,"Story después de confirmar promoción.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: requiere vigencia y condiciones explícitas. Teléfono correcto."
IMG-013,"WhatsApp Image 2026-08-22 at 2.04.44 PM (2).jpeg",flyer,jpeg,719,1280,,,57191,portrait,"Flyer de Nataly con servicios y valoración gratuita.",yes,no,no,yes,yes,yes,yes,C,"Social después de confirmar promoción y dirección.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: valoración gratuita; verificar además los datos pequeños de ubicación."
IMG-014,"WhatsApp Image 2026-08-22 at 2.04.44 PM.jpeg",flyer,jpeg,719,1280,,,56417,portrait,"Flyer de equipo con valoración gratis y referencia de Carepa.",yes,no,no,yes,yes,yes,yes,C,"Social después de confirmar promoción y ubicación.",no,PUBLIC-PENDING-CONFIRMATION,"DO NOT PUBLISH UNTIL CONFIRMED: valoración gratis y ubicación. Teléfono correcto."
IMG-015,"WhatsApp Image 2026-08-22 at 2.04.45 PM (1).jpeg",procedure,jpeg,899,1599,,,131976,portrait,"Nataly realizando atención odontológica a una paciente identificable.",yes,yes,no,no,no,no,no,B,"Campañas de confianza y proceso clínico; formatos editoriales preparados.",no,PUBLIC-SAFE,"Permiso de uso de procedimientos y pacientes confirmado explícitamente por la cliente en esta tarea el 2026-08-22."
