grupo,sitio,url,pais_ciudad,posicionamiento,hero,fotografia,tipografia,color,cta_principal,navegacion,tratamientos,equipo,reviews,casos,motion,mobile,personalidad,impacto_visual,confianza,premium_feel,claridad,interaccion,mobile_score,conversion,originalidad,promedio,notas
REFERENCIA,Dra. Nataly Jimenez (produccion),https://www.dranatalyjimenez.com,"Carepa, Antioquia (CO)",Orientacion antes de agendar,Ilustracion vectorial de sillon dental,Ilustracion generica; 4 imagenes duplicadas,Sin webfont (fallback del sistema),Teal #0d6b73 + ivory + oro,Elegir mi necesidad (enlace de texto),6 items,12 servicios con 8 imagenes,4 miembros (2 ilustrados),No,No,ScrollReveal ligero,Sticky CTA que tapa contenido,Neutra / sin firma,3,3,3,7,6,5,5,4,4.5,Funnel por intencion es unico en todo el benchmark
A,VitalDent Apartado,https://www.holavitaldent.com/,"Apartado, Uraba (CO)",Odontologia especializada,Foto real de 2 odontologos en recorte circular,Real pero mal recortada,Arial,Lima #e4ed80 + celeste #bfe3f6,Agenda tu Cita,21 enlaces,Si,Si (2 personas),No,No,Carrusel,Aceptable,Cercana pero amateur,4,6,2,5,4,4,5,3,4.1,Competidor mas cercano geograficamente; blobs de constructor visual
A,Ortoclinicas de Uraba,https://ortoclinicasdeuraba.com/,Uraba (CO),Especialistas en ortodoncia,Foto clinica real con velo azul + H1 56px,Real; escena de consultorio,Inter + Montserrat,Azul #1f5f8b + verde #6bc048,Agendar cita (boton relleno),12 enlaces,Si,Si,Si,Si,Suave,Bueno,Profesional regional,7,8,5,8,6,7,8,4,6.6,Referencia regional a batir; cifras 20.000+/18 anos/98%
A,Ortoclin Medellin,https://ortoclin.co/,Medellin (CO),Ortodoncia y diseno de sonrisa,Negro con Bebas Neue,25 imagenes reales,Bebas Neue + system,Negro #272727,AGENDA TU CITA,36 enlaces,Si,Si,Si,No,Parallax,Denso,Editorial oscura,6,6,6,4,5,4,5,4,5.0,11.453px de alto; navegacion sobrecargada
A,Bocas y Risas,https://bocasyrisas.com/,Medellin (CO),27 anos de experiencia,Video + H1 50px,22 imagenes + video,Outfit,Navy #0a192f + cian #00e5ff,AGENDAR CITA DE VALORACION,22 enlaces,Si,Si,Si,Si,Video de fondo,Aceptable,Corporativa energica,6,7,4,6,6,6,7,3,5.6,Cian #00e5ff muy saturado; buen inventario de prueba social
A,Smile Natural Studio,https://smilenaturalstudio.com/,Medellin (CO),Experiencia dental premium sin dolor,"Negro con la palabra RELAX + recorte de la doctora",Real; recorte sobre negro,Jost,Negro #13120e + oro #c9a96e,QUIERO AGENDAR,27 enlaces,Si,Si,Si,No,Fade,Aceptable,Lujo latino negro+oro,7,6,7,5,5,5,6,4,5.6,11.082px; el negro+oro ya esta saturado en Medellin
A,Be Dharma,https://clinicabedharma.com/,Medellin (CO),Diseno de sonrisa,Negro/blanco sin H1,27 imagenes,Lato + Roboto,Negro / blanco / gris,Agendar Cita,0 nav semantica,Si,Si,No,Si,Minimo,Denso,Minimal fria,5,5,5,4,4,4,5,3,4.4,12.003px; sin H1
A,DentiOral,https://dentioral.com/,Medellin (CO),Tratamientos odontologicos,H1 en versalitas sin imagen fuerte,1 sola imagen grande,Open Sans,Celeste #88bad9 + oliva #b4bf5b,Solicitar informacion,31 enlaces,Si,No,No,No,Ninguno,Aceptable,Institucional,3,4,2,5,3,4,4,2,3.4,Paleta celeste+oliva; imagineria minima
A,Clinica Odontologica de Antioquia,http://www.clinicaodontologicadeantioquia.com.co/,Antioquia (CO),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,DOMINIO NO RESUELVE - sin calificacion
B,14-85 Dental Spa,https://1485dentalspa.com/,Bogota (CO),Expertos en implantes y rehabilitacion,H1 en versalitas de 106 caracteres,5 imagenes grandes,Open Sans,Teal #198882 + cian #00bab9,Contacto,162 enlaces de nav,Si,Si,No,Si,Minimo,Malo,Clinica institucional,3,5,3,2,3,3,4,2,3.1,13.056px de alto; 162 enlaces de navegacion
