platform,campaign,ad_group,audience,intent,asset,copy_id,headline,cta,landing,utm,budget_scenario,status,policy_status,notes
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,18+; Carepa; presencia,odontologo_valoracion,RSA text,odontologo_valoracion_A_INTENT,Odontología en Carepa | Dentista en Carepa | Valoración Odontológica | Consultorio Odontológico | Dra. Nataly Jiménez,Consulta disponibilidad,/c/valoracion,utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_a_intent,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,18+; Carepa; presencia,odontologo_valoracion,RSA text,odontologo_valoracion_B_CLARITY,Conoce Cómo Empezar | Atención Clara y Cercana | Primero Valorar y Orientar | Opciones Según Tu Caso | Decide con Información,Consulta disponibilidad,/c/valoracion,utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_b_clarity,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Odontologo_Valoracion,18+; Carepa; presencia,odontologo_valoracion,RSA text,odontologo_valoracion_C_ACTION,Consulta Disponibilidad | Atención con Cita Previa | Habla con Nuestro Equipo | Información por WhatsApp | Consultorio en Carepa,Consulta disponibilidad,/c/valoracion,utm_source=google&utm_medium=cpc&utm_campaign=search_odontologo_valoracion_carepa&utm_content=rsa_c_action,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Urgencias,18+; Carepa; presencia,urgencias,RSA text,urgencias_A_INTENT,Urgencias Dentales Carepa | Orientación Dental Carepa | Atención Odontológica | Primero Debemos Valorar | Revisión Profesional,Consulta disponibilidad,/c/urgencias,utm_source=google&utm_medium=cpc&utm_campaign=search_urgencias_carepa&utm_content=rsa_a_intent,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Urgencias,18+; Carepa; presencia,urgencias,RSA text,urgencias_B_CLARITY,Conoce Cómo Empezar | Atención Clara y Cercana | Primero Valorar y Orientar | Opciones Según Tu Caso | Decide con Información,Consulta disponibilidad,/c/urgencias,utm_source=google&utm_medium=cpc&utm_campaign=search_urgencias_carepa&utm_content=rsa_b_clarity,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Urgencias,18+; Carepa; presencia,urgencias,RSA text,urgencias_C_ACTION,Consulta Disponibilidad | Atención con Cita Previa | Habla con Nuestro Equipo | Información por WhatsApp | Consultorio en Carepa,Consulta disponibilidad,/c/urgencias,utm_source=google&utm_medium=cpc&utm_campaign=search_urgencias_carepa&utm_content=rsa_c_action,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Limpieza,18+; Carepa; presencia,limpieza,RSA text,limpieza_A_INTENT,Limpieza Dental en Carepa | Higiene Oral en Carepa | Cuidado Preventivo Dental | Consulta por Limpieza | Profilaxis Dental Carepa,Consulta disponibilidad,/c/limpieza,utm_source=google&utm_medium=cpc&utm_campaign=search_limpieza_carepa&utm_content=rsa_a_intent,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Limpieza,18+; Carepa; presencia,limpieza,RSA text,limpieza_B_CLARITY,Conoce Cómo Empezar | Atención Clara y Cercana | Primero Valorar y Orientar | Opciones Según Tu Caso | Decide con Información,Consulta disponibilidad,/c/limpieza,utm_source=google&utm_medium=cpc&utm_campaign=search_limpieza_carepa&utm_content=rsa_b_clarity,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Limpieza,18+; Carepa; presencia,limpieza,RSA text,limpieza_C_ACTION,Consulta Disponibilidad | Atención con Cita Previa | Habla con Nuestro Equipo | Información por WhatsApp | Consultorio en Carepa,Consulta disponibilidad,/c/limpieza,utm_source=google&utm_medium=cpc&utm_campaign=search_limpieza_carepa&utm_content=rsa_c_action,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Ortodoncia,18+; Carepa; presencia,ortodoncia,RSA text,ortodoncia_A_INTENT,Ortodoncia en Carepa | Valoración de Ortodoncia | Opciones de Ortodoncia | Revisión de Tu Mordida | Alineación Dental Carepa,Consulta disponibilidad,/c/ortodoncia,utm_source=google&utm_medium=cpc&utm_campaign=search_ortodoncia_carepa&utm_content=rsa_a_intent,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Ortodoncia,18+; Carepa; presencia,ortodoncia,RSA text,ortodoncia_B_CLARITY,Conoce Cómo Empezar | Atención Clara y Cercana | Primero Valorar y Orientar | Opciones Según Tu Caso | Decide con Información,Consulta disponibilidad,/c/ortodoncia,utm_source=google&utm_medium=cpc&utm_campaign=search_ortodoncia_carepa&utm_content=rsa_b_clarity,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Ortodoncia,18+; Carepa; presencia,ortodoncia,RSA text,ortodoncia_C_ACTION,Consulta Disponibilidad | Atención con Cita Previa | Habla con Nuestro Equipo | Información por WhatsApp | Consultorio en Carepa,Consulta disponibilidad,/c/ortodoncia,utm_source=google&utm_medium=cpc&utm_campaign=search_ortodoncia_carepa&utm_content=rsa_c_action,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Diseno_Estetica,18+; Carepa; presencia,diseno_estetica,RSA text,diseno_estetica_A_INTENT,Diseño de Sonrisa Carepa | Opciones para Tu Sonrisa | Cuidado Estético Dental | Primero Una Valoración | Tu Sonrisa Es Única,Consulta disponibilidad,/c/sonrisa,utm_source=google&utm_medium=cpc&utm_campaign=search_diseno_estetica_carepa&utm_content=rsa_a_intent,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Diseno_Estetica,18+; Carepa; presencia,diseno_estetica,RSA text,diseno_estetica_B_CLARITY,Conoce Cómo Empezar | Atención Clara y Cercana | Primero Valorar y Orientar | Opciones Según Tu Caso | Decide con Información,Consulta disponibilidad,/c/sonrisa,utm_source=google&utm_medium=cpc&utm_campaign=search_diseno_estetica_carepa&utm_content=rsa_b_clarity,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
Google Search,CAREPA_SEARCH_ODONTOLOGIA_V1,Diseno_Estetica,18+; Carepa; presencia,diseno_estetica,RSA text,diseno_estetica_C_ACTION,Consulta Disponibilidad | Atención con Cita Previa | Habla con Nuestro Equipo | Información por WhatsApp | Consultorio en Carepa,Consulta disponibilidad,/c/sonrisa,utm_source=google&utm_medium=cpc&utm_campaign=search_diseno_estetica_carepa&utm_content=rsa_c_action,BASE COP 1.000.000 total,DRAFT,PASS,Search only; frase/exacta; publicar solo con aprobación humana
