asset_id,original,semantic_name,public_path,private_path,web,google_business,instagram,facebook,whatsapp,paid_ads,consent,status
IMG-001,"WhatsApp Image 2026-08-14 at 3.38.02 PM.jpeg",private-whatsapp-screenshot,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-14 at 3.38.02 PM.jpeg",no,no,no,no,no,no,not-applicable,PRIVATE-DO-NOT-PUBLISH
IMG-002,"WhatsApp Image 2026-08-22 at 2.04.23 PM.jpeg",cleaning-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.23 PM.jpeg",no,no,pending,pending,pending,no,"licence/provenance pending",PUBLIC-PENDING-CONFIRMATION
IMG-003,"WhatsApp Image 2026-08-22 at 2.04.27 PM.jpeg",reception-story-screenshot,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.27 PM.jpeg",no,no,pending,no,no,no,not-applicable,PUBLIC-PENDING-CONFIRMATION
IMG-004,"WhatsApp Image 2026-08-22 at 2.04.28 PM (1).jpeg",nataly-vanesa-team,"/images/client/web-v2/nataly-vanesa-team.webp; /marketing/media-v2/*/nataly-vanesa-team-*", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.28 PM (1).jpeg",yes,yes,yes,yes,yes,yes,not-required,PUBLIC-SAFE
IMG-005,"WhatsApp Image 2026-08-22 at 2.04.28 PM (2).jpeg",clinic-chair,"/images/client/web-v2/clinic-chair.webp; /marketing/media-v2/*/clinic-chair-*", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.28 PM (2).jpeg",yes,yes,yes,yes,yes,yes,not-required,PUBLIC-SAFE
IMG-006,"WhatsApp Image 2026-08-22 at 2.04.28 PM.jpeg",free-evaluation-story,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.28 PM.jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-007,"WhatsApp Image 2026-08-22 at 2.04.42 PM (1).jpeg",nataly-sonrie-original,"/marketing/media-v2/client-originals/nataly-sonrie-original.jpeg", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.42 PM (1).jpeg",no,no,yes,yes,yes,no,not-required,PUBLIC-SAFE
IMG-008,"WhatsApp Image 2026-08-22 at 2.04.42 PM.jpeg",nataly-cuidamos-sonrisa-original,"/marketing/media-v2/client-originals/nataly-cuidamos-sonrisa-original.jpeg", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.42 PM.jpeg",no,no,yes,yes,yes,no,not-required,PUBLIC-SAFE
IMG-009,"WhatsApp Image 2026-08-22 at 2.04.43 PM (1).jpeg",services-address-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.43 PM (1).jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-010,"WhatsApp Image 2026-08-22 at 2.04.43 PM (2).jpeg",smile-free-appointment-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.43 PM (2).jpeg",no,no,pending,pending,pending,no,"licence/provenance pending",PUBLIC-PENDING-CONFIRMATION
IMG-011,"WhatsApp Image 2026-08-22 at 2.04.43 PM.jpeg",team-free-consultation-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.43 PM.jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-012,"WhatsApp Image 2026-08-22 at 2.04.44 PM (1).jpeg",free-evaluation-typographic-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.44 PM (1).jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-013,"WhatsApp Image 2026-08-22 at 2.04.44 PM (2).jpeg",nataly-services-free-evaluation-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.44 PM (2).jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-014,"WhatsApp Image 2026-08-22 at 2.04.44 PM.jpeg",team-free-evaluation-flyer,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.44 PM.jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-015,"WhatsApp Image 2026-08-22 at 2.04.45 PM (1).jpeg",nataly-clinic-work,"/marketing/media-v2/*/nataly-clinic-work-*", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.45 PM (1).jpeg",no,yes,yes,yes,yes,yes,"authorized 2026-08-22",PUBLIC-SAFE
IMG-016,"WhatsApp Image 2026-08-22 at 2.04.45 PM.jpeg",meta-ai-equipment,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.04.45 PM.jpeg",no,no,no,no,no,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-017,"WhatsApp Image 2026-08-22 at 2.13.08 PM.jpeg",nataly-portrait,"/marketing/media-v2/*/nataly-portrait-*", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.13.08 PM.jpeg",no,yes,yes,yes,yes,yes,not-required,PUBLIC-SAFE
IMG-018,"WhatsApp Image 2026-08-22 at 2.16.22 PM.jpeg",meta-ai-chair-story,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.16.22 PM.jpeg",no,no,no,no,no,no,not-required,PUBLIC-PENDING-CONFIRMATION
IMG-019,"WhatsApp Image 2026-08-22 at 2.17.01 PM.jpeg",brand-logo-original,"/marketing/media-v2/client-originals/brand-logo-original.jpeg", "private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.17.01 PM.jpeg",no,yes,yes,yes,yes,no,not-required,PUBLIC-SAFE
IMG-020,"WhatsApp Image 2026-08-22 at 2.21.07 PM.jpeg",buenos-dias-agenda-original,,"private/media-intake-2026-08-22/raw/WhatsApp Image 2026-08-22 at 2.21.07 PM.jpeg",no,no,pending,pending,pending,no,not-required,PUBLIC-PENDING-CONFIRMATION
VID-001,"WhatsApp Video 2026-08-22 at 2.04.36 PM.mp4",clinic-closing-vertical,"/marketing/media-v2/video-previews/clinic-closing-vertical.mp4", "private/media-intake-2026-08-22/raw/WhatsApp Video 2026-08-22 at 2.04.36 PM.mp4",no,no,yes,yes,yes,yes,not-required,PUBLIC-SAFE
VID-002,"WhatsApp Video 2026-08-22 at 2.04.42 PM.mp4",clinic-room-closing-vertical,"/marketing/media-v2/video-previews/clinic-room-closing-vertical.mp4", "private/media-intake-2026-08-22/raw/WhatsApp Video 2026-08-22 at 2.04.42 PM.mp4",no,no,yes,yes,yes,yes,not-required,PUBLIC-SAFE
VID-003,"WhatsApp Video 2026-08-22 at 2.04.43 PM.mp4",nataly-valoracion-cta,"/marketing/media-v2/video-previews/nataly-valoracion-cta.mp4", "private/media-intake-2026-08-22/raw/WhatsApp Video 2026-08-22 at 2.04.43 PM.mp4",no,no,yes,yes,yes,yes,not-required,PUBLIC-SAFE
VID-004,"WhatsApp Video 2026-08-22 at 2.15.16 PM.mp4",carillas-procedure-reel,,"private/media-intake-2026-08-22/raw/WhatsApp Video 2026-08-22 at 2.15.16 PM.mp4",no,no,pending,pending,pending,pending,"authorized 2026-08-22",PUBLIC-PENDING-CONFIRMATION
VID-005,"WhatsApp Video 2026-08-22 at 2.15.48 PM.mp4",nataly-vanesa-team-reel,,"private/media-intake-2026-08-22/raw/WhatsApp Video 2026-08-22 at 2.15.48 PM.mp4",no,no,pending,pending,pending,pending,not-required,PUBLIC-PENDING-CONFIRMATION
