page,section,component,current_copy,purpose,classification,issue,recommended_action,proposed_copy,seo_sensitive,factual_dependency,notes
sitewide/shared,aria-label,src/components/conversion/ConversionJourney.tsx:38,Orientación por necesidad,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Opciones según tu necesidad,no,no,
sitewide/shared,p,src/components/conversion/ConversionJourney.tsx:43,"Selecciona una opción para recibir una orientación breve, sin formularios.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Elige una opción.,no,no,
sitewide/shared,p,src/components/conversion/ConversionJourney.tsx:47,Paso 2 de 2 · Tu orientación,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Paso 2 de 2,no,no,
sitewide/shared,p,src/components/conversion/ConversionJourney.tsx:47,Elige una opción o escribe directamente. No necesitas acertar el nombre del tratamiento.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Elige lo más parecido a tu caso. También puedes escribirnos directamente.,no,no,
sitewide/shared,button,src/components/conversion/ConversionJourney.tsx:48,Cambiar camino,Action / choice,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Cambiar motivo,no,no,
sitewide/shared,span,src/components/conversion/ConversionJourney.tsx:63,Tu orientación,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Información,no,no,
sitewide/shared,button,src/components/conversion/ConversionJourney.tsx:67,Cambiar opción,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Cambiar opción,no,no,
sitewide/shared,label,src/components/layout/Footer.tsx:10,Instagram,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Instagram,no,no,
sitewide/shared,label,src/components/layout/Footer.tsx:11,Facebook,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Facebook,no,no,
sitewide/shared,label,src/components/layout/Footer.tsx:12,Cómo llegar,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Cómo llegar,no,no,
sitewide/shared,p,src/components/layout/Footer.tsx:23,La información publicada no reemplaza una valoración odontológica profesional.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,La información publicada no reemplaza una valoración odontológica profesional.,no,no,
sitewide/shared,h3,src/components/layout/Footer.tsx:28,Servicios,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Servicios,no,no,
sitewide/shared,h3,src/components/layout/Footer.tsx:39,Contacto,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Contacto,no,no,
sitewide/shared,h3,src/components/layout/Footer.tsx:52,Enlaces,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Enlaces,no,no,
sitewide/shared,label,src/components/layout/Header.tsx:10,Necesidad,Action / choice,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Qué necesitas,no,no,
sitewide/shared,label,src/components/layout/Header.tsx:11,Servicios,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Servicios,no,no,
sitewide/shared,label,src/components/layout/Header.tsx:12,Doctora,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Doctora,no,no,
sitewide/shared,label,src/components/layout/Header.tsx:13,Urgencias,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias,no,no,
sitewide/shared,label,src/components/layout/Header.tsx:14,Consultorio,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Consultorio,no,no,
sitewide/shared,label,src/components/layout/Header.tsx:15,Equipo,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Equipo,no,no,
